S.No,Item Name,Price (₹),Category
1,Tomato Soup,100,Veg Soups
2,Sweet Corn Soup,100,Veg Soups
3,Veg Manchow,100,Veg Soups
4,Veg Hot & Sour,100,Veg Soups
5,Lemon Coriander Soup,100,Veg Soups
6,Cream of Mushroom,100,Veg Soups
7,Veg Corn Soup,100,Veg Soups
8,Green Salad,75,Salads & Snacks
9,Palli Masala,75,Salads & Snacks
10,Masala Papad (2 pcs),75,Salads & Snacks
11,Onion Pakoda,100,Salads & Snacks
12,French Fries,100,Salads & Snacks
13,Veg Rolls (10 pcs),150,Salads & Snacks
14,Veg Lollipops (10 pcs),150,Salads & Snacks
15,Veg Cutlets (10 pcs),150,Salads & Snacks
16,Veg Fingers (10 pcs),150,Salads & Snacks
17,Potto Cheese Balls (10 pcs),150,Salads & Snacks
18,Aloo Tiki (10 pcs),150,Salads & Snacks
19,Har Bhar Kabab (10 pcs),150,Salads & Snacks
,Veg Satay,150,Salads & Snacks
20,Boiled Corn,100,Corn Items
21,Corn Rolls (10 pcs),150,Corn Items
22,Veg Manchuria,150,Corn Items
23,Crispy Veg,150,Corn Items
24,Crispy Corn,150,Corn Items
25,Gobi Manchuria,150,Gobi Items
26,Gobi-65,150,Gobi Items
27,Chilli Gobi,150,Gobi Items
28,Baby Corn Manchuria,150,Baby Corn Items
29,Baby Corn-65,150,Baby Corn Items
30,Baby Corn Chilli,150,Baby Corn Items
31,Crispy Baby Corn,150,Baby Corn Items
32,Golden Fried Baby Corn,150,Baby Corn Items
33,Mushroom Manchuria,150,Mushroom Items
34,Mushroom-65,150,Mushroom Items
35,Mushroom Chilli,150,Mushroom Items
36,Loose Mushroom,150,Mushroom Items
37,Mushroom Pakoda,150,Mushroom Items
38,Butter Garlic Mushroom,150,Mushroom Items
39,Paneer Rolls (10 pcs),200,Paneer Items
40,Paneer Manchuria,250,Paneer Items
41,Paneer-65,250,Paneer Items
42,Paneer Chilli,250,Paneer Items
43,Crispy Paneer,250,Paneer Items
44,Paneer Stick (10 pcs),250,Paneer Items
45,Honey Lemon Paneer,250,Paneer Items
46,Boiled Eggs (2 pcs),30,Egg Items
47,Masala Omelet,80,Egg Items
48,Cheese Omelet,100,Egg Items
49,Chilli Egg,150,Egg Items
50,Egg Manchuria,150,Egg Items
51,Egg-65,150,Egg Items
52,Veg Noodles,100,Noodles
53,Egg Noodles,130,Noodles
54,Schezwan Noodles,150,Noodles
55,Plain Rice,50,Rice
56,Jeera Rice,125,Rice
57,Tomato Rice,125,Rice
58,Veg Fried Rice,125,Rice
59,Egg Fried Rice,150,Rice
60,Paneer Rice,175,Rice
61,Curd Rice,100,Rice
62,Plain Curd,20,Dairy
63,Daal Fry,175,Dal & Veg Curries
64,Daal Dhadka,175,Dal & Veg Curries
65,Daal Makhani,175,Dal & Veg Curries
66,Plain Palak,175,Dal & Veg Curries
67,Aloo Palak,175,Dal & Veg Curries
68,Palak Paneer,175,Dal & Veg Curries
69,Chenna Masala,175,Dal & Veg Curries
70,Aloo Chenna Masala,175,Dal & Veg Curries
71,Mushroom Curry,175,Dal & Veg Curries
72,Aloo Matar Curry,175,Dal & Veg Curries
73,Kadai Veg Curry,175,Dal & Veg Curries
74,Mixed Veg Curry,175,Dal & Veg Curries
75,Tomato Cashews Curry,250,Dal & Veg Curries
76,Malai Kofta,250,Dal & Veg Curries
77,Paneer Butter Masala,250,Dal & Veg Curries
78,Methi Chaman,250,Dal & Veg Curries
79,Kadai Paneer Curry,250,Dal & Veg Curries
80,Egg Burji,125,Egg Curries
81,Egg Curry,150,Egg Curries
82,Egg Palak,175,Egg Curries
83,Chicken Sweet Corn Soup,125,Non-Veg Soups
84,Chicken Manchow Soup,125,Non-Veg Soups
85,Chicken Hot & Sour Soup,125,Non-Veg Soups
86,Cream of Chicken Soup,125,Non-Veg Soups
87,Chicken Lemon Coriander Soup,,Non-Veg Soups
88,Chicken Noodles,150,Noodles
